Procedure,Language,Reading Level,Replicate,GPT Output,FKGL Score,SMOG Score,Flesch Ease,Reverse-Translated Output,Notes
Cholecystectomy,Spanish,Standard,2,,,,,,
Cholecystectomy,Spanish,Standard,3,,,,,,
Cholecystectomy,Spanish,10th Grade,1,,,,,,
Cholecystectomy,Spanish,10th Grade,2,,,,,,
Cholecystectomy,Spanish,10th Grade,3,,,,,,
Cholecystectomy,Spanish,5th Grade,1,,,,,,
Cholecystectomy,Spanish,5th Grade,2,,,,,,
Cholecystectomy,Spanish,5th Grade,3,,,,,,
Cholecystectomy,Arabic,Standard,1,,,,,,
Cholecystectomy,Arabic,Standard,2,,,,,,
Cholecystectomy,Arabic,Standard,3,,,,,,
Cholecystectomy,Arabic,10th Grade,1,,,,,,
Cholecystectomy,Arabic,10th Grade,2,,,,,,
Cholecystectomy,Arabic,10th Grade,3,,,,,,
Cholecystectomy,Arabic,5th Grade,1,,,,,,
Cholecystectomy,Arabic,5th Grade,2,,,,,,
Cholecystectomy,Arabic,5th Grade,3,,,,,,
Cholecystectomy,Bengali,Standard,1,,,,,,
Cholecystectomy,Bengali,Standard,2,,,,,,
Cholecystectomy,Bengali,Standard,3,,,,,,
Cholecystectomy,Bengali,10th Grade,1,,,,,,
Cholecystectomy,Bengali,10th Grade,2,,,,,,
Cholecystectomy,Bengali,10th Grade,3,,,,,,
Cholecystectomy,Bengali,5th Grade,1,,,,,,
Cholecystectomy,Bengali,5th Grade,2,,,,,,
Cholecystectomy,Bengali,5th Grade,3,,,,,,
Hernia Repair,English,Standard,1,,,,,,
Hernia Repair,English,Standard,2,,,,,,
Hernia Repair,English,Standard,3,,,,,,
Hernia Repair,English,10th Grade,1,,,,,,
Hernia Repair,English,10th Grade,2,,,,,,
Hernia Repair,English,10th Grade,3,,,,,,
Hernia Repair,English,5th Grade,1,,,,,,
Hernia Repair,English,5th Grade,2,,,,,,
Hernia Repair,English,5th Grade,3,,,,,,
Hernia Repair,Spanish,Standard,1,,,,,,
Hernia Repair,Spanish,Standard,2,,,,,,
Hernia Repair,Spanish,Standard,3,,,,,,
Hernia Repair,Spanish,10th Grade,1,,,,,,
Hernia Repair,Spanish,10th Grade,2,,,,,,
Hernia Repair,Spanish,10th Grade,3,,,,,,
Hernia Repair,Spanish,5th Grade,1,,,,,,
Hernia Repair,Spanish,5th Grade,2,,,,,,
Hernia Repair,Spanish,5th Grade,3,,,,,,
Hernia Repair,Arabic,Standard,1,,,,,,
Hernia Repair,Arabic,Standard,2,,,,,,
Hernia Repair,Arabic,Standard,3,,,,,,
Hernia Repair,Arabic,10th Grade,1,,,,,,
Hernia Repair,Arabic,10th Grade,2,,,,,,
Hernia Repair,Arabic,10th Grade,3,,,,,,
Hernia Repair,Arabic,5th Grade,1,,,,,,
Hernia Repair,Arabic,5th Grade,2,,,,,,
Hernia Repair,Arabic,5th Grade,3,,,,,,
Hernia Repair,Bengali,Standard,1,,,,,,
Hernia Repair,Bengali,Standard,2,,,,,,
Hernia Repair,Bengali,Standard,3,,,,,,
Hernia Repair,Bengali,10th Grade,1,,,,,,
Hernia Repair,Bengali,10th Grade,2,,,,,,
Hernia Repair,Bengali,10th Grade,3,,,,,,
Hernia Repair,Bengali,5th Grade,1,,,,,,
Hernia Repair,Bengali,5th Grade,2,,,,,,
Hernia Repair,Bengali,5th Grade,3,,,,,,
Tonsillectomy,English,Standard,1,,,,,,
Tonsillectomy,English,Standard,2,,,,,,
Tonsillectomy,English,Standard,3,,,,,,
Tonsillectomy,English,10th Grade,1,,,,,,
Tonsillectomy,English,10th Grade,2,,,,,,
Tonsillectomy,English,10th Grade,3,,,,,,
Tonsillectomy,English,5th Grade,1,,,,,,
Tonsillectomy,English,5th Grade,2,,,,,,
Tonsillectomy,English,5th Grade,3,,,,,,
Tonsillectomy,Spanish,Standard,1,,,,,,
Tonsillectomy,Spanish,Standard,2,,,,,,
Tonsillectomy,Spanish,Standard,3,,,,,,
Tonsillectomy,Spanish,10th Grade,1,,,,,,
Tonsillectomy,Spanish,10th Grade,2,,,,,,
Tonsillectomy,Spanish,10th Grade,3,,,,,,
Tonsillectomy,Spanish,5th Grade,1,,,,,,
Tonsillectomy,Spanish,5th Grade,2,,,,,,
Tonsillectomy,Spanish,5th Grade,3,,,,,,
Tonsillectomy,Arabic,Standard,1,,,,,,
Tonsillectomy,Arabic,Standard,2,,,,,,
Tonsillectomy,Arabic,Standard,3,,,,,,
Tonsillectomy,Arabic,10th Grade,1,,,,,,
Tonsillectomy,Arabic,10th Grade,2,,,,,,
Tonsillectomy,Arabic,10th Grade,3,,,,,,
Tonsillectomy,Arabic,5th Grade,1,,,,,,
Tonsillectomy,Arabic,5th Grade,2,,,,,,
Tonsillectomy,Arabic,5th Grade,3,,,,,,
Tonsillectomy,Bengali,Standard,1,,,,,,
Tonsillectomy,Bengali,Standard,2,,,,,,
Tonsillectomy,Bengali,Standard,3,,,,,,
Tonsillectomy,Bengali,10th Grade,1,,,,,,
Tonsillectomy,Bengali,10th Grade,2,,,,,,
Tonsillectomy,Bengali,10th Grade,3,,,,,,
Tonsillectomy,Bengali,5th Grade,1,,,,,,
Tonsillectomy,Bengali,5th Grade,2,,,,,,
Tonsillectomy,Bengali,5th Grade,3,,,,,,
Cataract Surgery,English,Standard,1,,,,,,
Cataract Surgery,English,Standard,2,,,,,,
Cataract Surgery,English,Standard,3,,,,,,
Cataract Surgery,English,10th Grade,1,,,,,,
Cataract Surgery,English,10th Grade,2,,,,,,
Cataract Surgery,English,10th Grade,3,,,,,,
Cataract Surgery,English,5th Grade,1,,,,,,
Cataract Surgery,English,5th Grade,2,,,,,,
Cataract Surgery,English,5th Grade,3,,,,,,
Cataract Surgery,Spanish,Standard,1,,,,,,
Cataract Surgery,Spanish,Standard,2,,,,,,
Cataract Surgery,Spanish,Standard,3,,,,,,
Cataract Surgery,Spanish,10th Grade,1,,,,,,
Cataract Surgery,Spanish,10th Grade,2,,,,,,
Cataract Surgery,Spanish,10th Grade,3,,,,,,
Cataract Surgery,Spanish,5th Grade,1,,,,,,
Cataract Surgery,Spanish,5th Grade,2,,,,,,
Cataract Surgery,Spanish,5th Grade,3,,,,,,
Cataract Surgery,Arabic,Standard,1,,,,,,
Cataract Surgery,Arabic,Standard,2,,,,,,
Cataract Surgery,Arabic,Standard,3,,,,,,
Cataract Surgery,Arabic,10th Grade,1,,,,,,
Cataract Surgery,Arabic,10th Grade,2,,,,,,
Cataract Surgery,Arabic,10th Grade,3,,,,,,
Cataract Surgery,Arabic,5th Grade,1,,,,,,
Cataract Surgery,Arabic,5th Grade,2,,,,,,
Cataract Surgery,Arabic,5th Grade,3,,,,,,
Cataract Surgery,Bengali,Standard,1,,,,,,
Cataract Surgery,Bengali,Standard,2,,,,,,
Cataract Surgery,Bengali,Standard,3,,,,,,
Cataract Surgery,Bengali,10th Grade,1,,,,,,
Cataract Surgery,Bengali,10th Grade,2,,,,,,
Cataract Surgery,Bengali,10th Grade,3,,,,,,
Cataract Surgery,Bengali,5th Grade,1,,,,,,
Cataract Surgery,Bengali,5th Grade,2,,,,,,
Cataract Surgery,Bengali,5th Grade,3,,,,,,
